locationName,postalCode,streetAddress,streetAddress2,fullAddress,city,state,storeID,reviewCount,avgRating
Tysons Corner,22102,7960 Tyson’s Corner Center,,"7960 Tyson’s Corner Center , McLean, VA 22102",McLean,VA,450,0,0
The Met,85226,3615 West Chandler Blvd,Suite 7,"3615 West Chandler Blvd Suite 7, Chandler, AZ 85226",Chandler,AZ,247,0,0
Reston,20190,1833 Fountain Drive,,"1833 Fountain Drive , Reston, VA 20190",Reston,VA,027,0,0
Presidio Junction,76177,8825 N Fwy Service Rd E,Suite 109,"8825 N Fwy Service Rd E Suite 109, Ft. Worth, TX 76177",Ft. Worth,TX,174,0,0
Phoenix Sky Harbor International Airport,85034,3400 E. Sky Harbor Blvd.,Terminal 4 Gate B20,"3400 E. Sky Harbor Blvd. Terminal 4 Gate B20, Phoenix, AZ 85034",Phoenix,AZ,152,0,0
La Villita,79912,6801 N. Mesa Street,,"6801 N. Mesa Street , El Paso, TX 79912",El Paso,TX,193,0,0
First Colony,77479,2675 Town Center Boulevard,,"2675 Town Center Boulevard , Sugarland, TX 77479",Sugarland,TX,224,0,0
Elmwood,70123,1200 S. Clearview Pkwy,Suite 1314,"1200 S. Clearview Pkwy Suite 1314, Harahan, LA 70123",Harahan,LA,251,0,0
Fountains at Farrah,79925,8889 Gateway Blvd. West,Suite 1400,"8889 Gateway Blvd. West Suite 1400, El Paso, TX 79925",El Paso,TX,168,0,0
East Cobb,30062,4101 Roswell Road,Suite 812,"4101 Roswell Road Suite 812, Marietta, GA 30062",Marietta,GA,244,0,0
DFW,75261,3200 E. Airfield Drive,Terminal A Gate A25,"3200 E. Airfield Drive Terminal A Gate A25, Dallas, TX 75261",Dallas,TX,187,0,0
Dallas Love Field,75235,8008 Cedar Springs Rd.,Terminal 2 Gate 6,"8008 Cedar Springs Rd. Terminal 2 Gate 6, Dallas, TX 75235",Dallas,TX,160,0,0
Columbia,21045,6211 Columbia Crossing,,"6211 Columbia Crossing , Columbia, MD 21045",Columbia,MD,102,0,0
Collin Creek,75075,520 W. 15th Street,,"520 W. 15th Street , Plano, TX 75075",Plano,TX,062,0,0
Buford,30519,1795 Mall of Georgia Boulevard,,"1795 Mall of Georgia Boulevard , Buford, GA 30519",Buford,GA,189,0,0
Bethesda,20814,7607 Old Georgetown Road,,"7607 Old Georgetown Road , Bethesda, MD 20814",Bethesda,MD,019,0,0
Bailey's Crossroads,22041,5861 Crossroads Center Way,,"5861 Crossroads Center Way , Bailey's Crossroads, VA 22041",Bailey's Crossroads,VA,025,0,0
Gwinnett,30096,2255 Pleasant Hill Road,Suite 480,"2255 Pleasant Hill Road Suite 480, Duluth, GA 30096",Duluth,GA,245,0,0
Kingsgate,79424,8201 Quaker Avenue,Suite 118,"8201 Quaker Avenue Suite 118, Lubbock, TX 79424",Lubbock,TX,177,0,0
West Little Rock,72211,12210 W. Markham Drive,,"12210 W. Markham Drive , Little Rock, AR 72211",Little Rock,AR,183,0,0
Mandeville,70471,3434 Highway 190,,"3434 Highway 190 , Mandeville, LA 70471",Mandeville,LA,242,0,0
Tanglewood,77057,5885 San Felipe Street,Suite 100,"5885 San Felipe Street Suite 100, Houston, TX 77057",Houston,TX,234,0,0
Tyler,75701,419 WSW Loop 323,,"419 WSW Loop 323 , Tyler, TX 75701",Tyler,TX,191,0,0
Tulsa Hills,74107,8115 S. Olympia Avenue West,,"8115 S. Olympia Avenue West , Tulsa, OK 74107",Tulsa,OK,206,0,0
Town & Country,77024,770 W. Sam Houston Parkway N.,Suite 100,"770 W. Sam Houston Parkway N. Suite 100, Houston, TX 77024",Houston,TX,229,0,0
The Forum,78154,8134 Agora Parkway,Suite 100,"8134 Agora Parkway Suite 100, Live Oak, TX 78154",Live Oak,TX,207,1064,4.20
Sunset Valley,78745,5493 Brodie Lane,,"5493 Brodie Lane , Austin, TX 78745",Austin,TX,218,0,0
South Arlington,76015,4201 S. Cooper Street,Suite 731,"4201 S. Cooper Street Suite 731, Arlington, TX 76015",Arlington,TX,053,0,0
Shops at Martial,70508,2207-I Kaliste Saloom Road,,"2207-I Kaliste Saloom Road , Lafayette, LA 70508",Lafayette,LA,243,556,4.37
Severn,70002,3300 Severn,Suite 201,"3300 Severn Suite 201, Metairie, LA 70002",Metairie,LA,239,0,0
San Tan Village,85296,2156 E. Williams Field Rd.,Suite 101,"2156 E. Williams Field Rd. Suite 101, Gilbert, AZ 85296",Gilbert,AZ,35248,0,0
San Jacinto,75201,2100 Ross Avenue,Suite 120,"2100 Ross Avenue Suite 120, Dallas, TX 75201",Dallas,TX,052,131,4.09
Rockwall,75087,987 East I-30,,"987 East I-30 , Rockwall, TX 75087",Rockwall,TX,133,0,0
River Oaks,77019,2047-A West Gray,,"2047-A West Gray , Houston, TX 77019",Houston,TX,228,0,0
Preston Forest,75230,11930 Preston Road,Suite 100,"11930 Preston Road Suite 100, Dallas, TX 75230",Dallas,TX,009,734,4.00
Plano,75093,5000 W. Park Boulevard,Suite 100,"5000 W. Park Boulevard Suite 100, Plano, TX 75093",Plano,TX,021,0,0
Uptown,87110,2110 Louisiana Blvd. NE,,"2110 Louisiana Blvd. NE , Albuquerque, NM 87110",Albuquerque,NM,195,1521,4.08
Alexandria,22314,500 King Street,,"500 King Street , Alexandria, VA 22314",Alexandria,VA,022,0,0
Allen,75013,810 W. McDermott Drive,,"810 W. McDermott Drive , Allen, TX 75013",Allen,TX,175,0,0
Arboretum,78759,9828 Great Hills Trail,Suite 650,"9828 Great Hills Trail Suite 650, Austin, TX 78759",Austin,TX,217,1480,4.25
Camp Bowie,76116,6140 Camp Bowie,,"6140 Camp Bowie , Ft. Worth, TX 76116",Ft. Worth,TX,003,0,0
Carillon,77042,10001 Westheimer Road,Suite 2123,"10001 Westheimer Road Suite 2123, Houston, TX 77042",Houston,TX,222,1441,4.29
Carrollton,70118,601 S. Carrollton Avenue,,"601 S. Carrollton Avenue , New Orleans, LA 70118",New Orleans,LA,237,0,0
Champions,77069,5505-A FM 1960,,"5505-A FM 1960 , Houston, TX 77069",Houston,TX,221,955,4.33
Clearlake,77598,929 West Bay Area Boulevard,,"929 West Bay Area Boulevard , Webster, TX 77598",Webster,TX,226,1590,4.34
Coit & Campbell,75080,1320 W. Campbell,,"1320 W. Campbell , Richardson, TX 75080",Richardson,TX,106,0,0
Crossroads,77065,19710 Northwest Freeway (290),Suite 100,"19710 Northwest Freeway (290) Suite 100, Houston, TX 77065",Houston,TX,235,1312,4.26
Downtown Crown,20878,242 Crown Park Avenue,,"242 Crown Park Avenue , Gaithersburg, MD 20878",Gaithersburg,MD,154,819,3.95
Flower Mound,75028,2500 Cross Timbers Road,Suite 150,"2500 Cross Timbers Road Suite 150, Flower Mound, TX 75028",Flower Mound,TX,161,0,0
Frisco,75034,8008 State Hwy 121,Suite 100,"8008 State Hwy 121 Suite 100, Frisco, TX 75034",Frisco,TX,136,0,0
Grapevine,76051,900 W. State Highway 114,,"900 W. State Highway 114 , Grapevine, TX 76051",Grapevine,TX,030,0,0
Huebner Oaks,78230,11745 Hwy. 10 West,Suite 101,"11745 Hwy. 10 West Suite 101, San Antonio, TX 78230",San Antonio,TX,202,1446,4.21
Jefferson,70809,7615 Jefferson Highway,,"7615 Jefferson Highway , Baton Rouge, LA 70809",Baton Rouge,LA,238,0,0
Kingstowne,22315,5876 Kingstowne Center,Suite 100,"5876 Kingstowne Center Suite 100, Alexandria, VA 22315",Alexandria,VA,159,0,0
Kingwood,77345,4570 Kingwood Drive,,"4570 Kingwood Drive , Kingwood, TX 77345",Kingwood,TX,225,0,0
Lakeline,78717,14028 N. US Hwy 183,Suite 210,"14028 N. US Hwy 183 Suite 210, Austin, TX 78717",Austin,TX,219,1210,4.08
Luhrs City Center,85003,45 West Jefferson Street,Suite M,"45 West Jefferson Street Suite M, Phoenix, AZ 85003",Phoenix,AZ,249,0,0
MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard , Irving, TX 75039",Irving,TX,114,1688,4.13
Meyerland,77096,4700 Beechnut,Suite 620,"4700 Beechnut Suite 620, Houston, TX 77096",Houston,TX,227,0,0
Midway,75220,4343 W. Northwest Hwy,Suite 365,"4343 W. Northwest Hwy Suite 365, Dallas, TX 75220",Dallas,TX,014,398,4.00
Mockingbird,75205,3072 Mockingbird Lane,,"3072 Mockingbird Lane , Dallas, TX 75205",Dallas,TX,001,1062,4.25
Mueller,78723,1201  Barbara Jordan Boulevard,"Bldg 11, Ste 100","1201 Barbara Jordan Boulevard Bldg 11, Ste 100, Austin, TX 78723",Austin,TX,220,0,0
North Arlington,76011,2101 N. Collins,,"2101 N. Collins , Arlington , TX 76011",Arlington ,TX,012,0,0
Northwoods,78232,18030 US Hwy 281 N,,"18030 US Hwy 281 N , San Antonio, TX 78232",San Antonio,TX,203,940,4.24
Overton Park,76109,4626 SW Loop 820,,"4626 SW Loop 820 , Ft. Worth, TX 76109",Ft. Worth,TX,157,0,0
Park North,78216,722 NW Loop 410,Suite 201,"722 NW Loop 410 Suite 201, San Antonio, TX 78216",San Antonio,TX,204,1089,4.27
Parkway Village,77077,1560 Eldridge Parkway,Suite 190,"1560 Eldridge Parkway Suite 190, Houston, TX 77077",Houston,TX,231,1215,4.37
Pearland,77584,11200 Broadway Street,Suite 1600,"11200 Broadway Street Suite 1600, Pearland, TX 77584",Pearland,TX,232,0,0
Perkins Rowe,70810,7707 Bluebonnet Boulevard,Suite 190,"7707 Bluebonnet Boulevard Suite 190, Baton Rouge, LA 70810",Baton Rouge,LA,240,475,3.98
West Grand,77449,23322 Mercantile Parkway,,"23322 Mercantile Parkway , Katy, TX 77449",Katy,TX,230,1630,4.21
Norman,73069,1954 24th Avenue NW,,"1954 24th Avenue NW , Norman, OK 73069",Norman,OK,208,0,0
